zipcode,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
98119,4,1.0,1.0,1.0,85.0,95.0
98119,4,1.0,1.0,1.0,150.0,96.0
98119,11,4.5,5.0,7.0,975.0,97.0
98119,6,2.0,3.0,3.0,450.0,92.0
98119,2,1.0,1.0,1.0,120.0,95.0
98119,2,1.0,1.0,1.0,80.0,99.0
98119,2,1.0,1.0,1.0,60.0,97.0
98109,2,1.0,1.0,1.0,90.0,97.0
98119,4,1.0,1.0,1.0,150.0,97.0
98119,2,1.0,1.0,1.0,95.0,97.0
98119,2,1.0,1.0,1.0,99.0,97.0
98119,4,1.0,2.0,3.0,245.0,98.0
98119,5,1.0,2.0,3.0,165.0,100.0
98119,16,3.5,6.0,15.0,461.0,98.0
98119,5,1.0,2.0,2.0,109.0,80.0
98119,2,1.0,1.0,1.0,66.0,95.0
98119,2,1.0,1.0,1.0,99.0,98.0
98119,10,3.5,5.0,5.0,700.0,85.0
98119,1,1.0,1.0,1.0,110.0,100.0
98119,3,1.5,1.0,2.0,99.0,84.0
98119,8,2.0,4.0,4.0,450.0,100.0
98119,5,2.5,3.0,3.0,600.0,100.0
98119,8,2.5,3.0,5.0,450.0,100.0
98119,2,1.0,1.0,1.0,45.0,95.0
98119,6,2.0,3.0,3.0,300.0,100.0
98119,3,1.0,1.0,2.0,80.0,85.0
98119,4,1.0,1.0,1.0,175.0,96.0
98119,6,1.5,3.0,3.0,325.0,92.0
98119,4,3.0,3.0,2.0,175.0,88.0
98119,7,3.5,4.0,3.0,222.0,75.0
98119,4,1.0,2.0,2.0,159.0,97.0
98119,4,1.0,1.0,2.0,125.0,95.0
98119,8,3.0,3.0,3.0,348.0,96.0
98119,1,1.0,1.0,1.0,45.0,97.0
98119,4,1.0,1.0,2.0,150.0,100.0
98109,2,1.0,0.0,1.0,80.0,98.0
98119,4,1.0,1.0,2.0,110.0,90.0
98119,3,1.0,1.0,2.0,148.0,91.0
98119,4,1.5,2.0,2.0,350.0,98.0
98119,3,1.5,1.0,2.0,150.0,98.0
98109,5,1.0,1.0,1.0,150.0,100.0
98119,2,1.0,0.0,1.0,100.0,92.0
98119,2,1.0,0.0,1.0,110.0,100.0
98119,4,1.0,1.0,2.0,160.0,100.0
98119,4,1.0,1.0,3.0,130.0,95.0
98119,2,1.0,0.0,1.0,99.0,100.0
98119,3,1.0,1.0,1.0,137.0,100.0
98119,2,1.0,1.0,1.0,145.0,94.0
98119,2,1.0,1.0,1.0,80.0,100.0
98119,2,1.0,0.0,1.0,95.0,98.0
98119,2,2.0,1.0,1.0,85.0,100.0
98119,2,1.0,1.0,1.0,70.0,100.0
98119,2,1.0,0.0,1.0,90.0,97.0
98119,2,1.0,1.0,1.0,80.0,92.0
98119,2,1.0,1.0,2.0,60.0,97.0
98107,6,2.5,3.0,4.0,170.0,91.0
98107,2,1.0,1.0,1.0,85.0,98.0
98107,12,3.5,5.0,7.0,465.0,96.0
98107,2,1.0,1.0,1.0,175.0,96.0
98107,2,1.0,1.0,1.0,59.0,93.0
98107,4,1.0,1.0,4.0,47.0,77.0
98107,4,1.0,2.0,2.0,145.0,97.0
98107,2,1.0,1.0,1.0,70.0,94.0
98107,2,1.0,1.0,1.0,55.0,94.0
98107,4,1.0,1.0,2.0,95.0,97.0
98107,2,1.0,1.0,1.0,125.0,92.0
98107,2,1.0,1.0,1.0,65.0,94.0
98107,6,1.0,3.0,4.0,149.0,95.0
98107,2,1.5,1.0,1.0,125.0,100.0
98107,4,1.0,1.0,3.0,129.0,100.0
98107,4,2.0,2.0,2.0,150.0,93.0
98107,2,1.5,1.0,1.0,150.0,98.0
98117,5,1.5,2.0,2.0,80.0,95.0
98107,2,1.0,1.0,1.0,126.0,98.0
98107,4,1.0,1.0,2.0,115.0,96.0
98107,4,2.0,2.0,2.0,225.0,98.0
98107,2,1.0,1.0,1.0,89.0,97.0
98107,8,2.5,3.0,5.0,225.0,100.0
98107,4,1.0,1.0,2.0,134.0,98.0
98107,2,1.0,1.0,1.0,75.0,80.0
98107,2,1.0,1.0,1.0,65.0,97.0
98107,6,2.5,3.0,4.0,375.0,96.0
98107,3,1.0,1.0,2.0,97.0,98.0
98107,2,1.0,1.0,1.0,145.0,97.0
98107,5,1.0,2.0,4.0,129.0,100.0
98107,6,1.5,3.0,4.0,197.0,100.0
98107,2,1.0,1.0,1.0,120.0,99.0
98107,4,1.0,1.0,1.0,200.0,95.0
98117,5,2.0,2.0,2.0,135.0,100.0
98107,2,1.0,1.0,1.0,70.0,95.0
98107,2,1.0,1.0,2.0,150.0,97.0
98107,3,1.0,1.0,1.0,200.0,95.0
98107,2,1.0,1.0,1.0,60.0,98.0
98107,5,3.0,3.0,5.0,180.0,100.0
98107,3,1.0,1.0,1.0,69.0,100.0
98107,3,1.0,0.0,1.0,90.0,100.0
98107,2,1.0,1.0,1.0,80.0,92.0
98107,5,1.5,2.0,2.0,150.0,94.0
98107,6,1.5,2.0,3.0,195.0,94.0
98107,5,3.0,2.0,2.0,224.0,96.0
98107,3,1.0,2.0,2.0,115.0,91.0
98107,2,1.0,1.0,1.0,55.0,94.0
98107,8,2.5,4.0,5.0,338.0,97.0
98107,2,1.0,1.0,1.0,79.0,97.0
98107,2,1.0,1.0,1.0,80.0,96.0
98107,2,1.0,0.0,1.0,85.0,95.0
98107,2,1.0,1.0,1.0,80.0,98.0
98107,3,1.0,1.0,1.0,49.0,90.0
98107,4,2.5,3.0,2.0,100.0,90.0
98107,2,1.0,1.0,1.0,79.0,85.0
98107,2,1.0,0.0,1.0,75.0,96.0
98107,2,1.0,1.0,1.0,57.0,96.0
98107,4,1.0,1.0,2.0,99.0,89.0
98107,1,1.0,1.0,1.0,55.0,100.0
98107,2,1.0,1.0,1.0,96.0,92.0
98107,4,1.0,1.0,1.0,99.0,94.0
98107,4,1.0,2.0,2.0,79.0,95.0
98107,2,1.0,1.0,1.0,115.0,99.0
98107,10,2.5,3.0,5.0,350.0,98.0
98107,6,3.0,3.0,3.0,295.0,93.0
98107,2,1.5,1.0,1.0,70.0,98.0
98117,2,1.0,1.0,1.0,53.0,99.0
